Decay Factor,Noise Level,Sampling Algorithm,Overtrained,go right 1,go left 1,go right 2,go left 2
0.5,0.1,Thompson,True,20.2,104.6,150.9,223.1
0.5,0.2,Thompson,True,21.3,127.4,226.9,331.3
0.5,0.3,Thompson,True,21.0,185.7,347.2,512.0
0.7,0.1,Thompson,True,15.0,96.6,151.5,238.1
0.7,0.2,Thompson,True,16.5,106.5,197.3,319.8
0.7,0.3,Thompson,True,22.6,148.4,305.9,490.0
0.9,0.1,Thompson,True,13.9,96.2,140.6,204.7
0.9,0.2,Thompson,True,15.3,130.3,254.3,387.6
0.9,0.3,Thompson,True,19.2,144.5,319.8,516.3
0.5,0.1,Thompson,False,17.9,43.0,59.2,76.7
0.5,0.2,Thompson,False,16.5,43.1,71.7,113.3
0.5,0.3,Thompson,False,28.5,74.8,122.8,158.8
0.7,0.1,Thompson,False,18.1,38.0,44.7,53.6
0.7,0.2,Thompson,False,15.8,44.3,66.8,94.8
0.7,0.3,Thompson,False,20.0,53.4,96.9,188.7
0.9,0.1,Thompson,False,12.7,31.6,45.9,60.9
0.9,0.2,Thompson,False,18.4,49.6,77.0,125.5
0.9,0.3,Thompson,False,19.5,59.6,96.9,152.6
